Species,   State, dHf_std, dGf_std, MolarMass, C, H, O, N, Na, Cl, Charge
H2(g),     g,     0,       0,       0.002016,  0, 2, 0, 0, 0,  0,  0
N2(g),     g,     0,       0,       0.028014,  0, 0, 0, 2, 0,  0,  0
O2(g),     g,     0,       0,       0.031998,  0, 0, 2, 0, 0,  0,  0
H2O(g),    g,     -241820, -228570, 0.018015,  0, 2, 1, 0, 0,  0,  0
CO(g),     g,     -110530, -137170, 0.028010,  1, 0, 1, 0, 0,  0,  0
CO2(g),    g,     -393510, -394360, 0.044010,  1, 0, 2, 0, 0,  0,  0
CH4(g),    g,     -74810,  -50720,  0.016040,  1, 4, 0, 0, 0,  0,  0
NH3(g),    g,     -45900,  -16450,  0.017030,  0, 3, 0, 1, 0,  0,  0
NO(g),     g,     90290,   86550,   0.030010,  0, 0, 1, 1, 0,  0,  0
NO2(g),    g,     33180,   51310,   0.046010,  0, 0, 2, 1, 0,  0,  0
H2(aq),    aq,    -4200,   17600,   0.002016,  0, 2, 0, 0, 0,  0,  0
O2(aq),    aq,    -11700,  16400,   0.031998,  0, 0, 2, 0, 0,  0,  0
N2(aq),    aq,    -10500,  18700,   0.028014,  0, 0, 0, 2, 0,  0,  0
H2O(l),    l,     -285830, -237140, 0.018015,  0, 2, 1, 0, 0,  0,  0
CO2(aq),   aq,    -413800, -385980, 0.044010,  1, 0, 2, 0, 0,  0,  0
H+(aq),    aq,    0,       0,       0.001008,  0, 1, 0, 0, 0,  0,  1
OH-(aq),   aq,    -230000, -157200, 0.017007,  0, 1, 1, 0, 0,  0,  -1
Na+(aq),   aq,    -240100, -261900, 0.022990,  0, 0, 0, 0, 1,  0,  1
Cl-(aq),   aq,    -167200, -131200, 0.035450,  0, 0, 0, 0, 0,  1,  -1
HCO3-(aq), aq,    -692000, -586800, 0.061017,  1, 1, 3, 0, 0,  0,  -1
CO3-2(aq), aq,    -677100, -527800, 0.060009,  1, 0, 3, 0, 0,  0,  -2
